rank	query_name	plan_file	node_id	node_type	sort_space_used_kb
1	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	5	Sort	2465104.0
2	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	8	Sort	140976.0
3	03_seqscan_aggregate	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/03_seqscan_aggregate.plan	1	Sort	4870.0
4	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	1	Nested Loop	0.0
5	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	2	Nested Loop	0.0
6	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	3	Merge Join	0.0
7	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	4	Merge Join	0.0
8	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	6	Seq Scan	0.0
9	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	7	Materialize	0.0
10	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	9	Seq Scan	0.0
11	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	10	Index Scan	0.0
12	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	11	Index Scan	0.0
13	01_hashjoin_revenue	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/01_hashjoin_revenue.plan	12	Index Scan	0.0
14	02_large_sort	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/02_large_sort.plan	1	Seq Scan	0.0
15	03_seqscan_aggregate	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/03_seqscan_aggregate.plan	2	HashAggregate	0.0
16	03_seqscan_aggregate	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/03_seqscan_aggregate.plan	3	Hash Join	0.0
17	03_seqscan_aggregate	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/03_seqscan_aggregate.plan	4	Seq Scan	0.0
18	03_seqscan_aggregate	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/03_seqscan_aggregate.plan	5	Hash	0.0
19	03_seqscan_aggregate	/home/sducs/postgresql-dev/exp/opengauss-hardproblem/experiments/runs/20260413-154513-tpcc-plus-tpch-injection/injection/round-1/03_seqscan_aggregate.plan	6	Seq Scan	0.0
